Customer,Ticket Price ex VAT,Number of Travellers,Total Cost ex VAT,Ticket Type,Travel Class,Travel Date,Miles Travelled,Journey Start Point,Journey Finish Point,Air Carrier
Met Office,194.48,1,194.48,Ticket,ECONOMY,02/02/2011,440,SOUTHAMPTON,FRANKFURT,FLYBE
Met Office,-93.99,-1,-93.99,Ticket,ECONOMY,02/02/2011,-440,SOUTHAMPTON,FRANKFURT,FLYBE
Met Office,2,1,2,Ticket,ECONOMY,07/02/2011,0,EXETER,JERSEY,FLYBE
Met Office,55.51,1,55.51,Ticket,ECONOMY,05/03/2011,256,NEWCASTLE,BRISTOL,EASYJET
Met Office,266.01,1,266.01,Ticket,ECONOMY,13/04/2011,412,BIRMINGHAM,BENBECULA,FLYBE
Met Office,92.72,1,92.72,Ticket,ECONOMY,13/04/2011,450,ABERDEEN,EXETER,FLYBE
Met Office,198.4,1,198.4,Ticket,ECONOMY,14/04/2011,403,BRISTOL,ABERDEEN,EASTERN AIRWAYS
Met Office,125.48,1,125.48,Ticket,ECONOMY,15/04/2011,291,EXETER,PARIS,FLYBE
Met Office,73.74,1,73.74,Ticket,ECONOMY,19/04/2011,429,BRISTOL,INVERNESS,EASYJET
Met Office,81.49,1,81.49,Ticket,ECONOMY,20/04/2011,450,ABERDEEN,EXETER,FLYBE
Met Office,200.9,1,200.9,Ticket,ECONOMY,21/04/2011,403,BRISTOL,ABERDEEN,EASTERN AIRWAYS
Met Office,149.63,1,149.63,Ticket,ECONOMY,22/04/2011,157,BENBECULA,GLASGOW,FLYBE
Met Office,129.94,1,129.94,Ticket,ECONOMY,22/04/2011,2087,BRISTOL,PAPHOS,EASYJET
Met Office,149.52,1,149.52,Ticket,ECONOMY,23/04/2011,363,BIRMINGHAM,INVERNESS,FLYBE
Met Office,50.48,1,50.48,Ticket,ECONOMY,23/04/2011,312,GLASGOW,CARDIFF,FLYBE
Met Office,635.62,1,635.62,Ticket,ECONOMY,26/04/2011,3667,LONDON - LHR,WASHINGTON,BRITISH MIDLAND
Met Office,635.62,1,635.62,Ticket,ECONOMY,27/04/2011,3667,LONDON - LHR,WASHINGTON,BRITISH MIDLAND
Met Office,661.1,1,661.1,Ticket,ECONOMY,01/05/2011,3442,NEW YORK - JFK,LONDON - LHR,VIRGIN ATLANTIC
Met Office,569.6,1,569.6,Ticket,ECONOMY,02/05/2011,3442,NEW YORK - JFK,LONDON - LHR,KLM
Met Office,102.76,1,102.76,Ticket,ECONOMY,03/05/2011,357,GLASGOW,EXETER,FLYBE
Met Office,369.2,1,369.2,Ticket,ECONOMY,04/05/2011,2037,LARNACA,LONDON - LHR,AEGEAN AVIATION S.A
